airport_code,sequence_number
DEB,25083
EDC,886165
CBA,883395
AAA,430765
ACE,800984
EBD,115819
AAC,819042
AAB,979566
CBC,970557
ADA,147405
CDC,445738
BBC,377408
DCC,842714
ABD,92298
CCA,425872
BCD,627286
CEB,511358
BEA,598855
CEC,24045
EDD,693547
DDD,82601
DBB,124486
CAB,268879
EBD,850406
CEA,534670
EDA,771061
DEC,72268
EEA,756777
DCA,890964
DED,55811
EDA,816656
EBC,517462
BCA,204206
CDA,284259
EBC,371364
BBB,592553
CCA,47404
BCA,866010
CEE,663063
DDE,688722
ECC,553549
ECD,361845
EEE,454543
EBA,603053
ACB,511551
EBC,629087
DCA,678239
CBA,118811
CDA,364094
CCB,164699
DCE,852079
DAC,265930
DEC,444685
ECE,157102
EBB,214751
BED,279143
AAB,497539
DEE,646497
DAE,966505
ACB,381843
CAE,373778
AEA,283548
DCC,597292
CCD,142385
BCC,418897
ABC,764914
AEA,279561
EBD,358420
BBC,29585
ACD,422039
BBB,9409
BEE,199129
BDC,555431
EAC,966572
ACD,897414
BCD,995788
AAD,429958
EEB,383492
BED,678405
BEB,694982
BEE,505709
AAC,754708
CAB,770228
BDE,364352
EBA,504907
BCB,48478
ADD,987741
ACE,310839
EDB,14326
DED,868369
CDA,339121
ADB,307953
ECD,924521
DCA,698368
BCD,987960
EDD,890056
EBC,628452
DEB,946141
ADD,214118
EAD,129941
ABA,877843
DDA,88385
CED,380744
DDC,351725
DBD,495291
CDB,848783
DED,949429
AAB,277329
BBB,525420
AEC,631980
EDD,319057
BDD,287888
AAA,895874
CBA,379901
CAA,404364
CDA,342062
BDC,972177
EDB,416111
DCB,579958
EDC,658218
BCA,585559
CEC,478057
DDE,479966
BEA,356471
ECC,128719
BAC,806607
DCA,723914
EBB,162390
DEA,148020
ADA,478742
CBD,31277
DEC,813231
AAC,375392
DBE,636978
DEE,768115
CAA,971788
ECE,951417
DCE,755646
DAB,738986
EBC,91387
DEB,720134
ECA,669774
EAA,355514
EAE,973079
DCE,809431
ADD,751578
ECB,974397
ADC,389633
CCB,749465
BAD,164923
DBD,219047
ACD,644789
AAC,518316
CDC,515259
AAA,295798
CCE,596410
EBD,826921
ABB,978692
ADA,606629
CCE,767536
ACA,502152
ECE,815760
DAE,867272
AED,456000
BAA,520207
CEA,629208
ACE,20464
BBE,783444
DDB,97356
DBD,585837
CCE,186045
CCB,918193
BBE,396981
DDC,873081
DDD,910375
CDA,253943
DEE,886382
AEA,89320
DBB,283181
DAE,98455
ACB,62851
DCD,853060
DEB,935859
ACD,986169
CBE,442473
CEE,867015
ADD,368210
BAA,809434
EAC,884422
BAB,370771
BCA,850581
BCB,757949
ABD,734314
CEB,230
ECA,593565
EDB,334832
ACE,804048
CDE,725331
AEA,790340
BAD,285165
ADD,919410
AAD,766288
DBC,331434
CDE,367822
ECD,574276
CBB,238803
AEC,727301
EEE,65005
DDA,803348
BCC,38868
CBC,969926
DCD,850189
BEA,135148
EDB,823433
EBC,336867
ABA,551392
BDB,506542
ADA,332512
CAD,35314
EAE,200620
CBC,54502
DCE,206977
EAB,633343
BEB,224278
DCC,651554
DCE,613276
CBB,171211
EBE,281431
BDE,950135
CBB,23281
EBA,201165
BEA,401686
DAC,309845
ECC,666999
EBA,809161
BEB,176162
EAE,686493
DED,183526
DEA,636004
EBA,789545
CBC,705760
AEB,266845
BDC,826903
DCE,829182
ADB,862397
BCA,754986
CEA,612177
DAB,377704
ADC,411552
CEB,109069
CCE,333437
DCB,568672
DEC,899980
EBE,281610
BEE,669811
DEC,270538
EAA,487046
EDE,114415
EDB,519595
CDC,209078
ECD,273178
EDC,728474
DBE,308963
DEB,792140
EEC,635679
DCC,532874
CAB,49036
ABA,406381
DBA,986895
CCD,903555
ACB,368160
BDA,616793
EDB,825607
ADD,888818
DAE,875512
EDA,339937
BCB,419517
DAE,872750
CCA,461753
ACC,44364
BAE,985777
ECB,198295
DBD,858311
CEB,622250
EDC,827908
EDC,808381
DAC,87268
EED,758677
AEB,258992
CBD,913336
AAB,495121
EBE,3151
BBB,522562
EAE,320239
CAD,267441
DDC,753379
DBE,948467
DCA,251421
BEE,504382
ADA,954611
DDB,633159
BBD,112881
EEB,761938
