airport_code,sequence_number
AEB,683005
EDC,47367
BAB,812821
EEA,460045
CEA,589366
DAE,968930
CDA,608009
CEB,40804
DEA,25917
BDA,992796
DAE,943755
CBA,442015
AAB,464685
EBC,616964
EAD,237960
BCA,647675
BAE,661748
ADA,893223
ECB,557734
AED,999678
CBD,21434
BBA,414221
EBB,429333
BDA,827240
AED,383603
DEA,762358
EAB,810488
ECD,974919
DDC,266194
BCE,453242
BEB,939851
CDB,62520
ADD,816169
EAD,993288
EEB,873228
ABB,390792
BAD,640815
DBE,247682
DCD,477088
DAD,581701
EEE,509922
DBE,488285
ADE,798934
EBA,221044
DDA,587583
EAA,171947
DAA,702032
DAD,342047
CCC,112124
CDD,387749
ADA,993152
CED,937722
CAA,198055
CCD,449674
DAA,614012
EBC,581936
BAC,900211
BEC,52704
ECB,468165
EBB,99533
AAC,308253
DDE,4266
ADA,488897
DBE,159230
CBB,107474
ACD,161780
CBD,443816
BBB,546774
CDA,312181
ABD,929429
ADC,644889
ADC,124187
DEE,500211
EED,850105
AAD,365331
EDC,926670
EDC,791168
ABC,667167
BAD,92810
CCA,690501
BDA,850246
CDE,369059
CED,204004
EBE,41833
DCA,701040
AAD,11770
DDD,726590
EDA,164757
ECD,214357
EEA,340374
ACA,229245
EED,63067
ABB,976203
ACB,815530
BCD,366575
ABC,326636
ACA,487011
EEE,776550
CAC,650664
ECC,873441
CAC,315637
DED,839638
CBA,550704
BDC,472199
AAC,544186
BEA,749871
DBB,959874
CEC,141453
EDC,949140
DBB,64056
EED,961835
EBB,285909
BCD,999619
BDE,989249
AEA,757821
BAD,65387
EAC,346905
DBB,725886
CEA,664775
CDD,48258
CEE,69959
DBA,574290
BAC,976026
CCD,425445
CAE,753032
ABC,637074
DBC,109285
BDC,803944
ACE,404612
DDD,628010
CCD,599932
DAE,301563
EEB,214326
BEC,607189
BDA,906692
DAB,682859
ABA,40043
AEC,467
CDC,840278
BEC,442640
DAC,390692
DDC,623454
BAC,284773
EBB,788556
EBD,128151
CBC,37127
EDA,619557
BCD,104118
BAD,913041
EDB,774865
CEE,641728
BBC,392034
DCC,687609
DCD,91847
EBE,532033
EDC,760735
AAD,163285
AEB,757275
EEC,136551
DAC,813226
ABE,885608
BCD,599281
EDC,876206
BCB,827206
BAE,676233
ECA,82551
BDD,895575
DBA,718181
CEA,352672
AED,31975
CCA,699462
EBD,545187
DCD,313242
CEA,607534
BCD,120709
DDD,559747
BCE,868963
BEB,843490
BCB,709416
ECE,680217
BAB,401246
CCD,769191
EEA,599669
DDE,6343
BAB,146002
EBA,780486
CDA,669872
BEB,401794
DDA,862810
CCE,122794
AEC,246837
EDA,842991
DAD,367139
AEA,183649
BEA,718628
CEB,834908
DAC,183254
BEC,405678
DDB,848578
CDA,180321
EAD,734102
AEE,967528
BAC,320644
CCD,422820
CDD,253745
DAE,923128
EBA,550560
DDA,689153
DCC,668113
CDD,774018
CCE,703433
CEE,290614
EDC,282828
BAD,331268
CAC,738431
EED,57186
EAC,605744
AEA,219776
CDA,48638
CDC,145035
BEA,900302
DDC,512420
BDB,715675
BCA,440094
BED,491921
CAA,594887
DDE,140236
ABB,870643
BDE,24219
CCA,487141
EBD,515565
EAE,754432
EBB,236361
DDA,312133
ACA,276900
BBD,818732
ECC,156973
ADD,222723
EBB,675276
EEE,847645
ECC,777180
BAD,221144
CCA,29362
AEE,587229
BCC,680835
AAA,621033
BCB,627338
DBA,154808
ABB,292273
ADD,440001
BCB,861433
ABD,218579
EEA,943371
DAE,977897
DDA,622136
CDC,225996
BBA,931513
CBD,939099
ADC,208188
EDD,477267
EAD,668319
DCB,653381
BCD,399716
DEE,863161
DED,989795
DBA,554989
BED,181477
CAA,530065
ADC,105410
BBA,935431
DBD,585732
BAA,161807
ACE,899612
BBA,371668
EBD,178811
BAA,489248
BBD,790735
BCA,400598
CDD,691183
EAB,664940
ABB,116201
DCA,602055
DCC,757692
CDA,974962
CAB,465980
BCB,933038
EBA,287831
EAE,979778
CCC,768743
DCA,904811
AEE,283720
DDB,26147
ABC,983484
CDE,422989
DBD,87376
EDB,610732
CED,714248
DEB,654127
ACE,840098
BBD,546313
CCA,143840
CDB,968970
BCE,611528
ECB,342046
BBE,452481
DED,23089
DBE,34458
EAE,116887
EDB,41222
EBE,753958
DDD,223967
BAA,19298
DAA,394305
BDC,517274
CEA,140046
AEA,148305
DCD,359842
DAD,496943
EAA,425726
ECB,524411
CAC,527367
BBE,241277
DDD,894552
ECD,947640
EEA,381656
BEC,752727
EAC,351808
EAB,772852
CDB,823256
CAC,923515
CAB,611224
AAC,876706
CAB,70191
EBD,140303
BEA,502995
ACC,682594
DDB,338304
EEB,796327
BCB,740171
ABD,742192
DDB,248039
CBE,272855
BDA,308469
EAC,292121
BBE,217084
BDA,663977
CBD,112766
EBE,413
BAB,566312
EBC,634395
CDD,701037
DBC,913827
CBC,958451
AAE,153252
CCE,290110
DBA,861923
CAB,585506
CBB,303146
BEE,653573
EEE,44846
CDB,605114
BBE,456694
DDB,376646
AEA,68946
BAA,736591
BCE,491872
DCE,916133
ECB,606773
EDC,950188
CED,667016
BCE,575578
DDA,574234
CEC,851067
ACA,66824
BBE,70238
CCC,618125
DCD,664110
CAB,311169
EAC,841982
ECD,874523
BAE,471570
CEB,556520
DDB,278839
DED,530662
DCC,987045
DEE,866710
BDC,12823
DEE,430803
BDA,477146
CEE,529064
CEA,104139
EEA,884215
EDE,988336
ECA,500046
CCE,140184
DBE,245930
BAB,329280
BAE,98741
ECC,437438
BDD,158531
CAD,837793
EAA,615336
CEA,414169
AED,600747
CCE,846807
DBC,926131
BAE,747906
DCB,489596
CBC,863393
CEB,92588
CAC,659822
CAB,412115
BCC,182289
BED,680599
AAD,871685
CCB,231861
ECB,14756
CEA,530123
CBC,734400
EBB,384266
BEE,440190
DEC,773407
BAB,682103
CCB,855286
EDC,606178
DBD,238324
DEA,454918
DCC,811373
ADB,699546
CBE,982197
BEE,136568
AAE,710318
CEE,909684
DCB,829483
DAE,118819
ACD,615468
EAB,914755
DCC,292963
EEE,471307
BEA,547158
CDC,500335
CCA,686442
CDB,378942
AEE,404168
ACE,926562
EDE,565215
CBB,826335
BDA,420970
BAE,109499
ADC,2586
ABB,195971
DEE,626394
CAC,80389
DCC,858105
CBA,64687
BCC,486540
ABA,536561
BAA,33925
AAE,675965
DDE,934202
EBD,774167
BAD,539165
EAC,130586
DDE,54906
ACC,770102
CDD,240634
BCE,853136
CAB,727507
BBE,651352
DBD,890215
CAA,715383
DEA,793205
CCC,416458
CDC,153597
BDD,611170
ECC,655270
DAD,979964
EEB,479649
AEA,460521
BBC,775684
CCA,742175
DDB,124230
ADD,310761
DDA,76281
CEC,40723
ADA,756664
BBB,882339
CDB,407041
BCC,135541
EBD,989747
AEA,297286
BCB,907239
ECA,962547
BBA,356618
AAE,360330
DDD,92721
AEA,820154
DED,226389
DCC,747151
DAD,360498
DBD,565725
EDA,364659
EDE,634154
EAA,817464
CAC,181802
BCB,222618
DCD,457154
DDA,127734
AEB,547451
ADA,136697
EBD,217218
CEE,594045
BED,988873
AEA,800486
AEC,888547
DEB,249368
CEE,677822
CDA,885107
BBC,746238
DDC,232649
BDA,338508
BCB,734076
BBB,517964
BCA,541512
BEC,67003
CAA,83445
DEC,253636
CEA,582592
ECD,629997
ACC,777373
ECC,505114
DCE,563611
EDA,847861
DEC,970721
AAB,860453
DBC,355180
BDE,600226
CAA,355177
EAB,661446
CBB,104846
EED,66034
CEA,667735
DDA,923255
AEB,504172
BEC,873972
ABA,541147
EED,794954
AAB,356583
BCE,459992
DCA,728819
BCD,319281
CED,773858
ECE,895440
DED,632529
ADE,36980
CAA,857371
DEB,507341
ABC,76012
ADD,758964
BBA,325032
AAD,885077
CAD,978732
DEE,215501
BEA,706946
EBB,60493
CCB,764267
BEE,747646
DDE,261519
AEE,201999
BED,392496
DBB,286817
EDA,388193
EAB,384837
ACD,761312
ADA,290649
BEB,552764
ACC,523393
EED,736245
DAC,128744
EBE,210674
DAA,80444
CBE,168965
CCA,897702
ADE,389885
ACD,236690
BCE,655139
CEB,456673
DAE,406203
EBE,62273
BCE,367022
AAE,604346
DEB,942452
EBB,445101
AED,867561
DCC,298427
ADE,372983
ECD,259515
ECD,180318
AEE,228867
DCD,443644
ACB,843334
DBD,737352
EDD,898133
BDB,530627
CEB,329801
DAA,105816
BCA,227449
DCA,36299
CAB,325310
BEC,116754
EDD,798835
EAE,449513
DCA,844192
EEC,970407
EBB,463298
BBB,69278
CCA,491268
BBE,659887
AAE,599525
ABC,995779
DBD,739005
DDB,306872
AED,990844
DAA,84683
ADE,65763
DBB,172521
ECC,434791
BDD,391962
BED,540860
CAE,114772
CAC,756345
CCD,459178
AED,90775
BEB,253075
EEC,990438
AAD,837234
DAE,739225
CEC,590906
DBB,416210
ACC,336868
ECA,714714
EAA,718790
BDA,352372
EDA,475998
CCE,627173
ECE,969700
BAA,913128
BDA,283462
ECB,887817
DBA,537766
AAE,91159
CCA,930578
EEA,766150
ECC,971236
DEC,66082
DAB,257496
DDE,884521
BAB,71828
CAB,230041
BCA,569622
CDA,719935
CDC,185131
EED,478989
DBB,72061
BEB,527589
CBB,848574
ECC,637767
CDD,103196
BDA,199311
EEB,842059
ABC,82983
ABC,799392
EED,762775
EEE,648215
CBA,181730
BCA,282961
BDB,43671
BBB,984522
BCE,690153
CAC,482090
BDC,533885
BDC,748818
BEC,243898
ACB,29626
DAE,707398
AEB,282680
BBC,450806
AEE,251810
BDD,631965
CAC,631458
DBC,547148
BED,688672
DEA,745181
DAC,161641
BCA,627988
BDB,222989
BCA,85987
DBE,972218
EAE,851800
BBE,729501
AEB,309473
DBD,792415
CEC,20130
BDD,304593
CBC,132497
ACA,475004
BDA,810089
DDB,171254
ACC,510685
DBA,89816
BDE,747118
DBE,526942
EBD,912571
CBC,470442
EBE,280544
DEB,516243
DED,660624
CEA,993573
CBB,109982
DDB,339220
ECC,197329
BDA,128850
CCE,147981
DDB,78023
BBA,367757
DEC,349249
DEB,772434
DDA,739039
BCA,510790
DBD,492107
BDC,674533
CAB,76595
BDE,760694
CAB,788128
BBB,733434
ABA,208355
BCA,258432
CCE,56746
DCB,721939
CAD,277405
EAD,520737
BDE,983967
DAA,289606
BDB,595465
AAB,433904
ADB,766442
BDA,2088
EDA,85058
DDD,452417
BCD,830940
CBC,29627
ADC,355984
ECC,717429
BCA,948862
BDD,231509
ACA,742167
AEA,255405
EBD,505421
ABB,412057
AAB,456813
CAB,423764
DAE,829151
CCA,148739
ABE,696956
CAE,147051
DBB,986414
CBE,824411
DAC,778751
DAA,640595
ADA,176169
BBC,518938
AAD,515380
BCE,783720
DBE,314144
BED,19008
ADA,354317
ABC,38797
BED,274326
BAD,995539
DED,302630
BEA,610626
BBB,163172
DBE,258152
DBD,824965
BDB,346312
DBC,656371
ECC,914667
DCB,322927
ACE,621283
BCB,899544
DDA,632874
ACE,895027
DDE,300423
ABB,80493
CDD,528988
EDD,669866
BAB,516752
BEB,787620
BBA,173247
DEC,875992
CBC,252466
DEC,197310
DCC,439078
BBB,928770
BCC,542348
EBB,432535
ABC,141286
AAA,743441
ACA,747430
CDE,599598
EAC,786417
ECB,497645
AEA,865246
AAE,926791
CEA,879352
BBA,363793
BCB,690018
BAB,307124
CAC,776370
CAA,715689
DCB,637542
CAC,641311
BBA,975420
DCC,655771
CED,57419
CDC,643267
ACD,1551
BAB,596459
CCA,831715
CEA,576479
DCA,312666
EBC,128583
AAA,425124
EBE,326754
ACE,773196
BAC,939420
ECD,152002
CDA,19613
EDD,638212
DCC,772341
CAD,161863
ACB,627667
