airport_code,sequence_number
DAA,789365
CEB,283276
ACC,144194
BDE,227046
CCC,545235
DCA,975076
AAD,837478
EBC,456323
EAC,638733
AEB,281176
BBA,126355
AEE,848522
CAB,130829
EDB,457457
CAB,860875
DCB,696593
DED,669309
ABE,854335
BDD,771848
CCE,484312
DBC,619853
CAE,47188
EDB,526358
DAB,529130
ECC,800192
ECA,293854
EAA,446103
CCE,656774
EDC,246124
DAB,554622
BAC,92737
EAD,199884
AAD,390274
DCB,64274
ACA,821414
DBB,99034
DDB,302390
DAA,562602
EDB,669918
BCD,67782
BCD,990148
BDE,973050
BDC,566144
ECD,290762
EEE,545014
DEA,653144
ABE,899811
DBE,138778
DEB,83818
AAC,137040
ECD,731596
BBD,715618
EEA,100132
ADD,455203
EEC,763951
BAC,650341
BCB,269250
EDC,851313
DDD,770674
ADD,277670
AEC,697063
BDA,635009
DBB,41835
BEA,561358
ABB,35099
BDD,341676
CDC,140223
ECB,95913
ABC,200044
CDA,945138
ABD,417830
BBD,500119
BBB,481942
DEA,705751
CAB,283604
DAC,997113
BAC,126005
EBD,86796
ECA,570851
BAE,124454
ACE,209353
BBA,178689
DDD,339516
CEA,52365
DAA,376269
BEE,443591
CAB,384971
EBA,918831
CED,237551
BCD,762234
EAC,363852
BED,540448
AAA,832161
EDD,3693
DCD,205255
AAC,507993
EBB,525046
DDA,510839
BAE,870649
BEC,43532
CAE,517964
BEB,951769
DBA,991907
ABC,186791
EDC,371542
DCC,455840
ABB,508231
BDE,247295
EEB,682349
DAD,214593
EBE,382996
DBE,588296
DEE,883749
EED,716101
AEB,331416
ECA,532482
ECC,610952
DCD,856176
DBB,78875
AAC,466151
DDD,416218
DBB,493570
DBB,288827
EBD,130295
AEC,435872
ABE,392683
ECA,358707
BBE,878249
BDD,324926
ACB,245845
DAE,979528
CEE,402220
ACB,550097
EDA,738664
DBB,813530
CCE,513798
BAE,621205
CDA,408722
BBE,588346
AED,711060
DCA,529900
ABA,303716
CEE,825803
BDC,951373
EED,655311
BED,941262
ADA,275042
AAB,397314
AAD,795436
ADD,392542
CDB,625914
CDE,791870
DBC,44454
EBB,337146
ADB,999348
EEA,554526
ABD,279613
ACD,363154
ACA,66013
BCB,18666
CEE,766061
CEA,532036
BBB,553836
ABC,238474
AAB,936157
CEA,304160
AEC,398185
BEC,577773
EAA,362049
CDC,648356
ADB,161843
ADA,92225
CBA,214949
CDD,674815
CED,972555
CBC,6687
ACC,591662
ABC,649463
EDD,623556
CAC,215636
EBA,319012
DAC,851719
DAD,600267
CBB,156491
EDA,667656
DEA,192689
DAE,948069
BEB,251525
ACE,71468
ECB,398383
DAE,686222
ABA,101762
CAD,444514
CED,62738
ABB,515123
ECE,36240
EAA,707406
AAA,324081
EAD,899361
BBE,125807
CDD,27457
CBA,726740
EAC,751423
ECE,427738
DAB,786174
ACA,556974
DDE,529288
CEB,275557
CEB,712598
EEA,803478
EBC,2547
DEC,896090
BDB,891297
CCE,340565
DBD,50923
ABB,534100
DEE,100237
DCB,17780
ECA,290310
EED,546243
EED,38086
DAD,526237
BCA,251441
EBA,219804
CCA,930168
EDE,853160
EAE,686766
AAC,558058
DAA,977093
AAC,253628
EBA,510816
DCE,922713
BEA,418249
BEE,673507
CDE,149997
EAD,66141
EED,314402
DDC,87394
EBA,275408
ADC,89331
DDA,160558
BBE,963518
BCE,926077
CEB,626096
DCE,727810
CBA,310924
ABB,52133
AEA,683520
CBE,192926
DDA,914211
ADA,878998
CED,914419
BCD,337373
DBD,660324
EEA,895235
ABC,425908
EED,783439
CDD,395908
DEC,612094
DCC,851868
DDC,479547
CDD,495258
BED,860879
CDD,527821
CAD,250597
BEB,877153
AAC,988747
DCC,13878
BDA,556700
CCC,743366
ACC,950065
CAD,516847
BBB,26163
AAC,496327
DEA,799967
CEA,200206
CBC,516121
EDD,680946
DCD,977051
AAD,141612
EEC,393918
ABA,566027
ABA,324226
AAA,129680
