airport_code,sequence_number
CDC,193082
EBE,37335
DAB,852084
EAA,375370
CEC,600557
CDD,481727
EDC,457482
DEA,360692
CAD,196862
DED,977190
BCB,144122
BCC,441320
ABB,35406
DDD,701228
BCD,878085
CDB,46875
CDB,37282
ACD,679093
AEA,720038
DDD,984880
BDE,207182
AAC,346440
ECE,279009
CBA,682714
DDC,455150
DAB,364747
EBB,724434
ACC,659127
CCE,282885
DEA,447466
DAA,784507
DDD,964607
BBE,889420
AEC,191139
BAA,150254
AEA,736044
CEE,853690
ADD,262744
BCA,114316
ABE,746842
BBD,847298
CDD,674354
DCA,42507
BDA,860918
EEE,85770
BAE,694992
CDE,637910
DEC,654626
ADA,714255
ADD,302717
ABB,860659
CCB,552576
BCD,158017
DEB,149097
ECE,30365
BCE,527402
CEC,405905
DDC,488036
CED,296004
DCE,333186
BDA,248948
DEB,958598
DDD,714653
BBE,680482
ECA,581532
ABE,862689
AAA,993609
ECA,598588
ACB,485234
DDE,340813
BDA,356698
DDD,359517
BCE,93932
CCB,474285
BDD,354933
ADB,943027
CBB,565358
AEA,78480
BCC,215664
ADD,715610
BEC,271333
DBE,155340
EEC,306173
DCC,94880
BCE,585862
EAE,262373
DEC,66398
BAE,518416
BDD,444678
CCE,29443
EEA,492149
BED,818575
DCD,954771
DBB,893707
CDA,985844
BCE,363473
DAD,145051
BAB,101942
ADC,12497
ADA,950921
DCD,434246
BAA,140616
EEB,646066
DEE,13319
CBC,186650
BDC,313875
EAC,451956
EAB,6986
DAD,416183
EAE,789905
CAC,38989
DEE,927984
ECD,292007
BCD,537292
EDA,682369
EBD,858693
BAD,247125
EBE,695496
BEA,809473
CED,74658
EBD,987157
BDA,252972
EBD,863925
ACD,256076
ECE,417075
BDE,708811
EBB,96098
BBA,298000
ECD,895940
ABE,112679
BAC,668992
EEE,211556
BCD,111305
ADE,744556
AEB,129410
BBA,795303
BAC,656916
ABD,446129
CBD,976645
BAC,96978
EBC,658802
CBA,230743
ECD,730966
CDA,125639
CAA,313442
AAA,742813
EAC,233046
ECA,550130
AAA,103960
ECB,112713
ACE,165032
ACD,998059
BAA,376257
EBA,834722
EBA,170620
CDD,623684
EBB,1704
EDB,123877
ECB,157147
DEE,306182
ACC,882470
DCB,431392
ECC,253347
DEE,34765
CED,199264
EDA,500788
BAB,573516
BDD,322813
DCB,940082
EBE,232065
EDB,378847
BCA,531371
DEC,355113
CBD,222067
BCD,69298
DAA,218431
EDE,470081
DBE,594814
BDB,135819
DCC,489325
CDB,108906
DDB,733766
CBB,707912
ACD,448677
CEB,875864
DEB,577360
DDE,154019
CAB,241386
EDE,228449
EDD,131019
DBC,477786
DAE,907085
BED,875017
EDD,408679
BBD,445530
BAA,451181
BAA,519297
CAE,231105
AEC,626118
ADE,129694
AEE,495299
CDE,407520
BEB,731329
BBA,883905
EEB,556040
CEE,185670
EEC,981708
CCD,374292
CDC,489855
ABD,423999
BCC,455180
EEE,201940
ECE,894083
CBA,448531
EAD,333729
AEE,377281
DBD,808420
DCA,514744
CDB,370599
BEC,218486
CDC,801855
ECC,903354
CDC,720074
CAC,6764
CDE,201055
CCB,469880
CCC,297251
DBA,889299
CCE,526669
CBE,65495
BDE,460282
ADD,722778
BBA,892675
AED,10171
DAE,82008
EDD,451176
CBE,555020
DDC,158565
CEA,186724
CBD,704269
CAB,49907
DED,989923
BDC,782245
EEE,118470
DAB,701888
CBA,582758
DAC,873329
ACE,463408
DAA,54341
BBD,255634
BEB,392728
BCC,367630
ECA,925680
EBA,650806
CAA,102592
ADC,399256
DAD,184956
BBD,689704
AEC,193044
CAE,943932
CBB,14076
CEC,323716
BDE,232253
CEB,634832
BBE,127092
BDD,374507
DAE,602736
AAE,232512
EAE,538820
CBD,615413
DCB,856824
BDC,825190
ABB,92810
BAA,313137
ADD,361671
DBB,803026
ADC,554028
ECC,581032
DAD,706556
CAC,666488
DCD,764257
DDA,303778
CDC,507689
ECB,41530
