airport_code,sequence_number
DAD,216457
EAC,356346
DEC,649934
DAE,685858
DCC,975345
CEB,101874
BCA,628566
BDD,881550
DCE,666605
BDD,759842
AEE,840355
EEC,399734
AAE,874150
CBD,111246
CEA,49886
ABE,205897
BEE,177608
DBB,899676
DBD,575552
DCE,876948
EED,348915
BCA,356693
AEE,177100
DBC,439660
DCB,445517
ECE,310001
ACE,33944
DCE,361353
BED,44312
DEC,253384
BED,549513
ADA,12833
ECB,718895
DBE,380182
CEB,840134
BAA,936944
CDA,893458
AAB,935686
CEB,972972
ADC,690001
ECA,189035
CEB,45735
DDD,169841
BCE,426411
CCA,819320
ECE,427506
EDE,248587
AEE,229431
BAC,802369
EEE,132861
BDC,253358
DEC,338008
BEB,946161
ECB,986972
BDB,617926
ACA,618144
DDA,937608
DBB,935695
EBD,179012
EBC,471849
ACC,391750
AEA,751044
BCA,382703
DCD,373294
BEE,775214
EDC,686359
CAA,443139
ACD,534576
CDA,239168
EEA,185504
EBE,283844
ACA,26054
DBE,689548
BCA,361516
DBB,550319
BAB,493442
BAD,74743
AED,697105
DCE,723652
ECE,987438
AAB,277588
CDE,209820
ABB,810068
AEE,882616
ABE,861955
EAB,587667
ABA,496148
DDB,17603
BEE,227492
EBD,14082
AEB,740127
AAE,349859
BEA,139864
EBD,5685
BCA,528616
EBB,441155
EDD,299464
CAB,659138
EBE,434878
EAB,966985
BAE,108604
DDB,694660
BDC,925751
AEB,317439
CDE,628462
EAC,534009
DCC,643078
DCB,543226
EDE,365195
ADE,347337
ACE,161563
DDE,555989
CCD,626604
DEA,611978
CAA,191217
EDC,737557
ECC,169398
ECA,172313
CDE,427357
DDA,530813
BDD,690768
CBC,484422
BAA,563493
BAA,405295
CBB,753652
BAC,520230
CAD,24302
AED,362382
DCD,604042
EBD,218807
ABC,841840
AED,678529
ADA,567031
CAE,394224
BDA,957130
EBD,815609
ABC,764339
BEC,807919
BDD,578088
EAC,741472
DBC,503721
BEB,190850
ABA,14134
CEA,614303
ECE,917106
DCE,898470
ECC,844492
CEB,664204
CBB,761646
DDC,948481
EDB,672976
BBA,324698
BCB,875674
DCD,491034
ACE,192963
DEC,904508
BCB,650580
BDC,262928
CDC,591603
EAA,532101
ABB,359237
CBA,556245
CDB,962394
EAE,84017
EDD,604575
BEB,206606
ADE,887587
EBA,469110
EAC,98853
DAD,39669
BBE,309068
EDB,119618
ABD,248121
CEB,509002
BEC,341493
BED,392877
EAD,547539
BED,798501
BDE,69110
BED,39086
DBE,283698
ABB,709606
ACD,2906
EAA,259040
CBE,193148
EEC,661
EBA,241762
ECB,578086
CEC,590401
EBD,453665
DDE,34595
EEB,308395
CBD,549375
DCC,777401
AAA,80663
DBB,25646
EAD,873398
BAB,914304
EBE,933207
BEA,956565
DDB,15517
DEE,210309
BDE,692541
CDD,616465
BCD,588402
ADE,833587
ABD,984650
DEB,966181
CBE,482680
DEC,767976
ACA,824085
BAE,448332
DAD,556577
CCC,342756
BBA,16581
CBB,718899
BBA,408491
BAE,110744
DBA,195283
BBA,539053
DBC,866264
AAD,366629
DEB,409524
DCE,960801
BED,27259
CAB,606458
EBC,499090
DBC,191300
DDC,144980
