airport_code,sequence_number
CBD,482410
BEE,797134
AEA,378759
AEC,14417
ECB,853509
EDC,739047
EAE,926900
CEA,17059
EEB,858126
BEE,644196
AAD,724559
CAD,288219
ECC,886138
CCB,970522
CBD,399987
AEB,917400
EBB,618155
ACD,3461
ACE,655320
ADD,340686
ABE,647123
BCD,330429
CCD,349374
DDD,865126
BCD,392801
BCD,964064
DAA,927134
EAB,615941
EBB,254265
DAE,146969
DAE,301141
BDB,209382
BAB,941259
DDC,167714
BBD,267156
ACE,797659
BCA,95832
BCE,530007
BAD,804606
DCD,786775
ABC,198611
BCD,758485
CAC,118491
DAA,385430
BBA,214687
ECC,624267
DBD,996065
DAC,626990
EBC,419301
BBE,619337
EDA,386133
ECB,606099
BBD,5553
BAE,321758
DBB,119458
BDC,65617
CCE,280429
DBB,159530
CBC,273389
EAA,126374
ECA,148803
ABC,966418
EBC,929600
BCC,631529
CBD,504476
ECB,280194
DDB,849922
BCB,859751
DAE,256118
EBA,613429
DED,924120
ACE,194646
CBB,714813
CBB,394023
EAB,508305
CCC,799037
ECE,827996
AAE,435026
ABA,363939
ABB,241206
BAC,922061
EBE,615942
BDB,952720
ECD,481225
ECD,689026
DCE,182279
AEB,145172
CCD,39945
EAD,99841
DCB,179833
BCB,314532
BED,621743
EDA,665197
ACD,873516
DEE,968462
DEE,899570
CCD,828775
AAE,877619
CAC,789401
DCE,548052
CDC,779900
EED,693877
BDA,738795
ABC,200343
CED,601379
ACC,557389
ABB,788420
DAC,851804
BCA,70499
BAD,641056
ACE,154584
ACA,853415
ABD,68833
ADC,204753
EAE,334059
CCD,154787
CCE,785238
BEB,684952
BBE,564879
AEE,445634
BEC,163095
DAD,870280
CCD,863039
DAC,519327
AEA,413648
DBA,841342
AAD,285471
DDD,690117
DEC,698926
BAC,829144
CBE,926613
CBB,153934
ECE,388725
DCE,769697
DBC,140847
DCD,972168
ADD,863346
ABD,621664
DEB,387149
BBD,685363
DAE,421300
DEE,322957
DDE,866799
DEB,884079
ADB,213664
DBE,341003
BBC,664362
EAB,888197
DAB,585298
BEA,495109
DDB,996152
EBC,672031
EBC,108513
BAA,620426
DDC,460633
CED,668509
ACC,241401
ABE,645791
AAD,988392
BCD,235244
BAC,747733
