airport_code,sequence_number
ADA,964530
CCE,178161
CEE,501998
DAC,929350
BEC,476541
DEA,282501
EED,416883
ECC,286489
DED,322780
EAE,199695
EBB,745355
DEA,955858
DEA,49786
DCB,970675
DDE,731911
EAA,454331
DBB,772651
ADD,302231
DEB,799255
DCC,396099
DAC,927547
BCC,289315
ECC,699156
BDE,802430
DEA,732149
CCE,537634
DED,393558
DEC,435325
AAA,398394
AAE,757733
DDC,278907
BBA,552833
CCB,955644
DDC,211529
BCA,324122
BCD,169889
AAC,644140
BBE,734215
CEE,337306
EAA,513761
CEB,583750
ADE,181502
DBC,631965
EDC,644127
ECE,286861
CAD,284943
CDC,365875
EDD,897890
BCE,691052
DBA,164300
AAA,753272
DBA,67357
CDD,54114
BDC,964798
DEE,443957
DBB,586895
DDA,453641
DDD,621161
DCE,108021
DBC,554909
CBA,701572
EAA,773739
AAE,201909
DBE,763590
CDB,319819
EDA,558142
ECA,339475
CEC,434238
BDC,844366
EAE,666336
CEC,319679
DBC,797713
AAA,108627
EBA,374561
ADB,31994
BEC,272828
ACA,42645
CED,173580
ECB,499439
BCD,248698
ADB,402197
DDD,328143
AAE,94094
EDB,343618
DDD,651408
DCD,975843
ABE,607526
ACA,44049
DDB,430238
DBC,261243
CED,330932
CCD,820537
AEE,352168
DCE,604134
CBE,577737
DEE,370547
ACC,675119
BAA,872159
DEE,986538
EEA,991194
DED,624781
BBC,770359
BDE,216310
CBE,456814
DED,66842
CEC,391192
ECC,286459
ABD,401592
EDC,883627
CCC,351655
EED,726264
CDA,238288
ACD,638369
DCE,98031
BDA,449732
DDA,88412
DCB,889267
BCB,967293
BCE,135808
EEE,352401
BCD,491024
CAD,513679
CAA,446004
ADC,170604
DAE,991653
BBD,800336
CDA,665062
BDA,423166
DBA,380864
BAA,511476
EBC,891058
BBD,28247
CAD,748414
DAD,29917
CBB,810024
DEE,345468
EBE,253526
DAE,403450
ECA,137979
ECE,779460
EBC,813651
ACE,890702
BEC,354810
BBB,757656
AAE,627951
EED,214859
CAB,942511
CBC,766075
ABD,223756
CCA,661506
BDB,560327
BAC,854253
CDB,375169
AAA,991483
DEA,20987
DDA,576475
ECB,597419
CCA,957143
CAC,286235
ABC,456948
DAB,250981
CAB,581774
BDA,937829
DEE,966565
BAB,939175
DDE,901473
EDD,335596
ABE,154926
AEE,68872
DEA,867149
AEA,526496
AEA,208029
EEE,116415
DCC,515750
AAE,182729
BDA,619039
BCD,701391
EDA,365628
CAC,278099
EEE,307919
DBB,343178
BDB,257846
CEC,401329
ADB,27804
BCD,498981
BDD,365670
CBE,388386
EBD,69598
BBE,811021
EBB,806984
ACD,832725
DED,309230
BDD,171125
BDA,759259
CDE,595586
DCA,549266
BDA,225007
ECB,482622
DDE,733504
CBC,22469
AEE,468530
DEA,933152
DAA,424820
DDE,26690
DAA,311786
DAA,72242
CCC,328888
ABC,66534
BAE,502364
BED,936164
CAC,318834
DCA,166696
DCE,780219
EEE,339848
DAB,828859
AED,488019
DAB,324187
EDE,732878
ABD,252067
CCB,305000
DEA,408143
CDD,262910
DDC,21614
AEA,67189
CDD,362770
CDB,712567
DDB,866270
EAC,313854
BAB,308080
CBA,836970
DBA,207650
BED,686294
EBC,160529
CEA,143710
BDC,374020
ABB,188525
DCA,39465
AAD,640538
EAD,792127
DCE,482025
ACB,348201
BEE,325941
AAB,44074
EAA,401105
EEC,480
DDC,778603
DEE,909619
CAA,754516
BEA,56397
BCE,704216
BCD,780362
CDC,776098
EAA,64087
AAD,678613
CDC,843816
BEA,904290
AEC,147961
AEA,117554
ECC,682827
DAE,128966
AEA,173318
ACB,43180
DCA,244829
DCB,686863
DBA,963275
ACB,5275
EEE,819922
BDD,298420
ACD,287551
BEA,845299
EAD,463460
CAE,455525
DED,613813
DBC,520177
ABD,699438
BEE,279360
EBB,630642
ADB,981282
AEB,708644
EEC,488797
ABE,212084
BBA,876984
EDD,896334
CCA,731664
AAE,729646
CBA,931147
BCE,452961
AEB,856833
BDB,765007
ADA,27938
ACB,746220
ACD,4784
AEA,607993
DDE,446405
CBD,302615
AAD,569398
BAA,701974
EEC,65666
DEC,121680
BAD,877920
CEB,36237
AEC,390506
CBC,626554
BCB,305687
ADA,376203
ABC,5937
BDD,626260
EDA,47985
EEB,880789
ADB,760052
CBD,612153
CCA,588704
DAE,750261
EDA,363159
EAD,741649
EBB,615585
EAE,568804
EBC,279521
DAB,669558
ACD,878237
DDE,270273
CAE,217354
BDA,933741
BAE,884821
CBB,429456
EAC,225963
CCE,402949
EDA,109048
EAE,819027
CEC,495409
BBA,733952
EBB,618073
EDB,944647
EAC,724002
CDA,181857
BEB,256992
ACD,902290
BBC,809153
CDE,783633
ABD,430292
CEE,402779
EAD,328212
ADE,461075
ADA,573511
ECD,642679
DCA,873447
ABB,646782
BAA,720396
EBB,967702
BAA,401552
DBB,233731
EBB,683535
DEE,694778
EAA,214170
EAE,955759
DDD,778476
DAA,631559
AEC,78920
EED,295893
CBC,684300
EDB,443905
BAC,237357
BBE,174046
EAA,743673
ABA,158412
CED,510426
CEE,623586
BCC,155478
BDD,826008
BAB,145381
BCD,594439
EBA,465504
BBB,481378
AEA,994029
ACC,420853
BDC,797191
BAB,27106
CBD,225968
CEC,557143
CDC,795641
DBC,759570
CEC,986405
BAA,379685
AAB,211027
EAC,592936
BEB,368183
CEA,427339
DAA,797692
BAE,649319
BAB,896699
EED,711091
CDC,172906
CDA,980195
DCE,487154
EEE,125518
ECC,125315
AAB,641382
CAC,767227
BAB,626003
DBB,169978
BCA,95415
ACC,318303
CED,785490
CAC,317592
ADD,241128
ABE,62051
DBC,755688
CBC,232791
EEB,380088
ECD,571106
EAA,427965
CDD,593999
EEA,255397
BEE,825905
AAA,257834
DAC,690644
BAB,566055
AEC,264832
CDD,420438
AAC,677259
DCC,593963
CCB,546129
BAA,429075
DEC,217848
EBB,630546
CDA,869795
CAD,64371
EDE,930096
ACC,678517
AAA,275231
AED,217072
BBC,854835
BBB,537143
ABD,135151
BAC,29642
DAD,247243
DEB,637381
CAA,309305
BCC,512456
ABD,570753
BDA,657143
DEE,792676
BDA,707595
DBA,178411
AEA,440756
BAE,625050
ADE,80919
CDD,982464
ACA,382641
CED,190070
DCE,893141
CEE,943441
BCB,426858
DEC,557347
DEC,223555
DAB,801693
ADE,10609
DBA,514204
DAE,256102
DAD,367258
AAE,559851
BCD,546392
CBB,112361
EED,250680
EBA,895271
DBD,559903
ADC,113383
EEB,239690
DAB,131737
BEA,500919
EEB,513744
ABC,341460
ABA,909927
ADB,149434
CAA,70296
ABE,159314
DAA,365967
DDB,937970
CDD,440483
BAA,697190
BDE,748987
EEC,726088
DCC,417433
EBC,186975
AAE,45985
CED,135929
CEE,674687
ABC,47296
ACA,263958
ADD,832249
EBE,360888
EEE,26
EDE,92559
DCC,933338
DEE,676969
DEA,676927
BEE,533740
ACE,27240
BED,814571
ECB,130183
BDB,862783
CBB,367506
EDB,867308
BDB,981973
AAE,282598
DDB,563209
DAE,297431
DDD,257035
EDB,278641
ADA,112453
CBD,751481
DCB,753528
EBB,231467
AEA,170960
CEB,396770
BEE,190427
CCE,237907
EDC,671506
BAE,342063
BEE,330639
EDB,388345
DCA,967759
EBD,189714
AEC,697992
BBE,358326
CEE,974541
ADD,523171
CAD,447132
DCB,460109
EBD,563463
DED,447539
CEB,220262
CDE,690162
ABD,851274
CEA,963650
BBB,471203
BEA,583680
BED,535947
ACD,675448
CDA,605341
AAB,239650
DAD,536295
DBA,945747
EDC,944992
DAC,350745
BDA,877843
CAE,672033
ECD,384556
EAE,608657
EEA,26379
AEC,524828
CBD,513868
CEA,140400
EAB,105446
CCE,284423
DAE,513793
CDE,347047
CCA,228879
AAB,771200
CBA,69133
DBB,470775
BEB,915009
DBD,997048
BDD,177986
EBE,750680
AAA,787539
CDC,377967
BBB,131844
BDE,749164
ACC,572529
DAE,708726
DDB,334538
DEB,62116
BCB,193303
DAD,604730
ADE,191304
DDD,664588
DDA,765715
DCB,468041
DCA,236281
DDB,349113
BEB,597718
BEB,392408
AEB,425514
EAE,314822
ADC,564693
EBE,317870
DCD,395150
ACE,424371
DDB,750122
BDC,207284
EDD,485295
BEA,249739
DDE,282211
CBB,669473
BBB,999252
ABA,943465
BDB,594325
BBC,61311
DCD,47227
ABE,516715
DDB,455372
ECA,993107
CAC,469777
DEE,887099
DAB,296077
BBC,997605
DAE,961790
DCB,392543
EAC,766879
EBA,907983
AEA,445457
AED,773538
DBE,930543
DAE,487760
BAD,193526
BAD,262097
CCD,336302
ABE,597471
BDB,389318
DCC,297789
BBE,626974
AED,323778
BDA,634453
ADB,606510
DBD,375231
ACB,118283
EBE,193600
BDB,277820
ADE,376072
EEC,275122
BEC,605129
EDE,499745
ECE,919244
DBE,656520
CAD,964442
ABB,914142
EAB,70182
ABC,470334
BEC,448555
ABC,200100
CCA,199436
ECB,72423
EEB,995439
ACC,35327
CBD,641646
CEB,317064
DAB,700876
CBC,811538
BAA,468001
BAA,997311
CCE,322358
BCB,352796
DEC,252368
EEE,370997
BCE,771468
BDC,233679
BED,160349
DAE,786672
EBE,648940
EEB,604748
CCB,251990
ABD,165367
AAE,740293
CEC,5024
AAE,727535
ADB,364691
AED,359433
CCD,974611
EDC,170039
DAB,761991
CED,242749
BEB,187873
DEA,25194
DDC,383297
BAE,631142
BCE,873103
CDC,882249
BED,152563
ABB,260996
CDD,453239
BAA,19903
BAC,402828
ADE,785659
CCC,572101
BCC,869743
CDE,36417
ECE,24954
EAD,14475
BBE,271200
CEC,549332
EAC,450735
DCD,262830
AEC,524993
ECD,704805
ABB,777867
BAB,99429
CED,675916
EEA,535758
EEB,961018
DEE,67283
BDA,509156
BCC,510451
BAC,529978
EAC,112058
EAD,455013
BAD,52911
BEE,581541
ADA,941556
CAE,631264
ECB,795267
AAE,467606
BDB,323222
DAD,986492
CBD,977650
DBC,554432
BCD,879036
EDD,134193
ADC,586308
ABB,976689
BAD,152406
BCC,973768
BAB,755634
ABC,609014
CAC,641916
BAE,217813
AEC,515422
BED,888250
DAD,40794
DAA,558575
ECC,184560
ACB,709901
BCC,159115
EBD,439193
BEA,483329
BDD,828940
DED,109365
AAA,687841
ACB,404703
EED,480019
ECC,671142
CDB,441563
CDC,689846
ABA,121814
ABB,992416
DDA,590389
BEE,525111
BEE,670733
AAE,954832
CAD,231822
EDA,982502
CEC,101857
EDE,616847
CBC,84098
EDA,42650
BAC,550126
EBE,300297
ABA,804659
DBD,103174
AEC,445756
AAD,464964
AEA,503788
CDD,120968
CDC,123936
BED,12210
ECB,500663
ECC,812449
BBD,665611
BCC,637057
BAC,168870
EED,925830
ECB,912627
DEE,220224
DAA,282428
CBA,142912
ECC,794289
AEE,114913
ADA,613667
CCD,234217
EEE,688418
DDC,53139
ABB,383937
CAE,26978
CCD,115278
BAA,145849
CAB,268492
DBD,477863
DBC,179850
ACB,655041
CBA,512323
ADE,215804
CEE,759190
EAE,239308
DAE,662969
ECA,119207
CDB,820729
CCE,350168
BCC,502958
DEB,789719
EBC,265054
DBD,923211
CAD,727579
ADC,176106
ADE,1348
BED,938353
ADE,471961
BCD,463034
EBC,971814
DAA,675217
CED,741385
BCD,424413
BDE,595590
CCA,50678
EBE,213116
BDC,110929
DBA,539224
EBC,115421
BAB,686825
DEA,71752
CDC,412120
ECA,348691
ADD,900539
EDC,766068
AEA,418957
CEC,499235
AEA,927491
DDE,17215
BBC,305348
CEC,972361
EBE,16768
EDC,288905
CCD,141895
DAC,654289
DCD,534270
EDE,866733
BCB,350111
DEC,920947
DDC,417071
BAD,157616
AEC,383267
DBE,599661
BDD,170257
BCB,979342
CAA,284659
AAD,465358
CEC,742804
BDE,692137
BDE,396626
DCB,60907
AAD,321897
EBE,913194
DAC,934677
ACC,864010
AAD,962851
DCE,961157
BEC,769783
CBD,929184
ACD,830665
CEC,638057
AEC,251159
ACC,44130
DBD,438632
ECC,256852
DBB,523916
DAC,570375
EDD,295492
EAB,484440
BBC,197357
BEC,5575
EED,187614
DBB,744508
AEB,827233
CEA,832714
ADC,902154
ADC,161732
CBE,815293
CDA,320003
AAB,137570
BCE,35622
EBC,370779
CCB,952072
BDA,276917
ECA,535550
EEA,609858
EEB,420063
EDD,106439
BBB,285872
BCA,618278
BDA,649809
BCE,467895
EDB,269586
CDE,207532
DBE,265562
BEC,886247
DCC,717990
ACC,945214
CCC,543462
BDC,530900
CED,507614
AAA,262021
BDB,899151
AEB,311241
DED,883753
BAD,927507
AED,388272
AEC,222393
CEE,593949
CAD,576877
EBE,581791
AAE,23541
ACA,641349
ABA,417085
BCB,875126
CDC,176954
EEA,917886
CCE,331876
EAB,153984
DCE,333768
EBC,497893
BDA,588591
CDB,974846
BCA,965153
DED,758512
EBC,546932
DCC,237240
BCE,704908
BCA,552981
DBC,248186
BBD,972750
CDD,874341
DDB,222471
BAE,569239
EAB,196352
AAD,803473
BAB,418447
DDD,579651
ACB,443857
ECC,352497
DAA,470414
ACD,756766
ACB,17506
CAA,808566
CBC,993098
DCB,326005
AEB,505560
DDB,370793
CCB,315305
BBB,669375
DEE,163885
CEB,128962
AED,618864
CBE,887507
BAA,966102
DED,347533
CDA,963346
ABE,658637
AEC,215742
BCA,304020
ABC,291774
EDB,235369
CAC,535128
ADA,800098
ADD,153468
CDD,476575
DDD,561348
EEE,457429
CCA,666782
BEC,663943
CDE,236708
ABE,813249
ACA,161333
