airport_code,sequence_number
DEE,545556
BDC,856044
ADD,83412
DAD,897424
CBB,289208
CDB,24344
CBC,172104
AEE,232172
EEB,434899
BBA,323748
DAC,514515
DDA,506730
DBC,198475
AEB,420918
BAE,38477
ABC,714909
ECB,50144
DCE,599394
CAB,486483
ACC,702236
BAC,215263
BEE,288701
ACC,769650
CAC,152331
DCD,505575
AEA,197686
EBA,257671
CCA,622623
EDA,527179
EDC,261684
CCD,20262
DCB,307182
BAC,210769
BBB,226961
DED,307811
EBB,82047
ECA,771277
ADA,636417
CAA,934923
AEB,868348
DCA,348581
CBD,189535
ADC,848954
ABB,860871
CDE,275146
BDA,441621
EBC,422583
ADD,864180
DDC,260082
CDD,160178
CEA,932373
DAA,698908
AAC,137644
DDD,714880
CEC,234057
EDD,851295
ABA,341944
EBD,292592
CDA,336901
AAB,296360
CDB,387571
CBB,136884
ECE,604781
CED,123278
BBA,819204
BAC,971584
AEA,370890
ACD,736123
DAB,490780
ADC,733871
DCB,897226
BCC,398157
DDB,798241
ADB,972536
AAB,980454
ADC,926707
BCD,518738
EAE,151229
CEE,272767
DAC,222974
BCD,460104
EAE,699470
DEC,361868
BED,330900
DAA,86364
CEB,835299
BCC,37339
ABC,30558
AEE,791488
DEC,69506
EEA,243308
CAA,568926
DDE,29507
CBD,449813
CBE,869122
AAD,152573
BCA,962637
DBE,379847
BEC,780680
CBB,35055
DEC,923516
DEA,503870
ABA,97939
ADC,762928
CDE,612081
EDD,459053
ABE,901495
BCE,541921
DDE,881158
DCC,287176
ECB,290083
ADB,427935
BAE,835483
EBD,385645
DCC,891534
DED,84983
EDD,404614
ECC,570088
EDC,304596
BEE,752441
AED,409308
BDE,864939
BBC,90782
DEB,460515
EEE,513688
ABA,628442
DCC,300689
AAE,21939
DAA,955802
DAA,569729
CCC,591670
ECB,202526
BAD,208822
AEA,193389
BAA,115429
AEC,205798
BDD,535531
DAC,485749
AAB,728338
BAE,613104
AEB,892146
AEC,610197
DEA,318875
BAA,707542
CAA,468122
BAB,751592
CEC,513464
AEA,71729
EBA,96051
BEA,613465
ADB,707968
EAB,468512
DAA,620854
BCA,683293
BBB,885244
ACE,153302
EAC,125133
BEC,274143
BEB,942949
ECC,851899
BBC,581013
ADB,577070
AEC,728289
DEB,607554
ACD,61017
ADA,661616
DED,875217
EAB,422688
CAA,2116
EDC,143108
EBD,180420
CED,647422
EEB,912272
DDC,975523
EBC,299448
DAD,154998
EEA,24365
BEB,429445
ACA,474061
EAC,445908
AEC,835112
CCB,867324
EDC,430311
CDC,88632
CCA,480185
CDD,662843
BED,424926
DDD,815740
BBD,700474
DCE,693206
EDB,408819
ECD,458060
BEB,993875
BAC,329107
AEE,300252
EAC,94369
CBE,405296
BEC,693578
EEC,307475
BBC,991716
BEE,650447
CCA,420965
AAD,920445
EAA,994885
BEA,778146
CEB,65857
BBB,343674
CEC,932491
AAC,615427
DEE,157427
ECB,183615
BAA,244025
BDC,159706
BEC,409309
DEE,305843
BCA,142971
CED,113742
EBE,885619
BBA,709820
DAD,718573
DDD,503180
EEE,802259
DBC,939827
BED,765758
BCB,971252
AAA,999837
DBB,529971
EAD,428860
BAE,546627
EBD,828263
CAA,234506
DCD,182704
BDE,899122
ADD,906919
DDD,873439
DAE,394265
EAE,179704
ADB,746503
CCD,242783
ACB,623426
ADD,840734
DDE,193770
ACA,21353
DDC,926037
BED,462112
ABC,852951
AEC,258138
ECC,476731
ADC,935892
DDB,778883
DCE,55173
BEC,775649
AAC,308023
BDB,968407
EBE,264582
BAA,912556
CEE,283364
BAC,945423
BDE,499785
DBB,586585
ABE,249034
DAD,607942
DAE,727654
AAD,291043
ECE,201380
EBD,460812
ECE,187098
EAD,98563
BBC,313012
CAA,15950
DAB,774827
DDA,508074
DCD,102147
DBA,616556
CCE,909618
EAD,679227
CEA,104287
EAD,749069
CED,683115
DDC,110006
CBB,860646
DBD,792797
EAB,565780
BCC,710017
ECC,286642
