airport_code,sequence_number
CBA,797936
BED,321883
DCD,155226
EDD,701487
CAD,646307
CCB,100849
BED,26894
ACC,697081
CCC,256681
BDB,882190
EED,211918
EED,691817
DDB,391483
EAE,969123
EBB,673031
BBE,683551
DDB,446423
CBA,113050
ACD,308837
EAB,571848
ADD,956893
BAA,51402
CBD,161115
EDD,406789
CAB,39180
EBC,310182
ACB,613368
BED,879006
DCB,491965
EAA,29353
CEA,846235
ACD,591093
AAD,80504
DEB,820237
BBE,680193
CEA,82970
ACA,504419
CCD,292897
CEB,411112
DEE,490356
EEC,878524
ABE,75796
AED,802695
EAC,245984
CCE,227815
ECA,153650
CBA,158387
ADC,343547
ACD,942700
AEA,618281
DBE,919991
ACB,313993
BDD,831287
DAA,906757
ABA,180664
ABA,41787
DAD,260424
CEE,443285
BDE,971387
EED,78686
CEE,936713
BAC,465480
ACB,748988
ECB,534031
DDC,476063
DCC,553312
EAD,914631
BAE,2374
ECE,419651
ECB,507021
ADD,943831
EBC,524807
ECC,458403
AAD,391741
CCC,114586
BBB,311747
DAD,220852
EBA,969856
ECA,645762
DCB,289864
CAC,821202
BEE,306186
BED,680477
AAE,516430
AEE,159583
AAA,713684
CAD,12208
DBB,686385
DBB,752694
BCD,450267
CBC,560743
BDD,377646
CCD,110119
ACA,801574
CCC,165940
ECC,259463
BCE,469554
DEB,192252
EBC,321517
EBD,604244
CDB,101439
BDC,554416
ADA,263589
EBC,158221
AEE,220875
AAB,94536
DCA,854466
BBC,445239
CDC,847074
DEB,290277
BDC,603424
EDB,202583
EEE,303748
BEA,103729
ECC,443096
EEE,10778
EDA,615232
BEA,495551
EEA,507380
CAD,66493
ACC,529464
ADE,344353
DAE,261786
BEA,116132
DEC,819488
BCA,293628
ABB,442736
EBB,838357
CAA,119948
BED,612355
AEE,37682
EDD,119952
DBA,289237
ABB,659873
CDC,45721
EBB,540273
DCB,320712
DCC,957238
DAB,565179
CBD,872199
EAD,383932
CED,508754
AEC,794968
AAB,353978
EEB,354087
ADD,927619
EAE,232543
DEE,504043
ABC,39313
CEC,918443
ACB,531599
ECB,520014
EBB,524263
CBD,119177
BDA,3938
BEB,624179
EAC,67915
ADD,602683
DAE,16139
ABE,814640
AAC,146610
DDA,148645
DEE,535428
BDC,221798
ABC,84855
CCB,993722
ABE,392901
ACE,225597
BDB,891927
ADA,53256
BAE,674441
DDC,911957
BBA,488618
ADA,162851
BAC,547760
AEE,594445
EEC,884766
BDC,188726
EDB,539459
DEB,429158
BCE,534604
ADE,284753
CBD,842851
ACD,842669
CBD,827381
CEA,749996
AEB,565527
BEA,627889
DBE,155747
EEA,160403
BAB,622009
AEA,990190
ABA,642354
CED,941142
BDC,739094
DED,335052
CBD,232668
CCA,723103
CEA,798891
EDA,945847
DDC,473413
EDB,959809
ECC,721237
BDB,823681
AEA,422346
BBD,974138
EAC,258222
BED,813986
BAB,479826
EAE,296635
CDA,654698
CBC,123472
DBE,721123
EDA,428515
DDE,667586
EDE,808237
EAD,739812
DAE,676010
AEE,225466
CDD,15070
ACE,298967
DDB,553174
ACC,254849
BED,333906
ACC,55008
BAD,533227
ABA,272723
EBB,117723
EED,576084
CEE,690630
DCD,205661
ACE,768337
DAA,519168
AAE,141826
ECB,368571
DAE,626729
CAD,902603
BDC,82376
ACB,308397
BBD,467492
BBE,82873
EAA,725643
EBB,653582
EEE,16632
DBA,558185
DCC,391191
DDC,690733
EED,369333
BEA,806641
CAE,516030
ACD,382687
BBB,761751
BDC,206917
BCE,561679
CBD,431269
BCB,9366
DAC,895292
ECC,114051
EBE,121037
BAE,687039
CAA,992047
DDA,653853
DED,965840
EAE,994870
EBD,900704
DAD,398315
DAB,969299
EDC,199382
ABB,921273
DAD,772478
ADD,428206
DDD,4609
DDE,79974
CDC,137808
AAE,279803
EEC,356190
BCC,174502
EAE,7342
DEB,896124
ABC,110120
CDA,147077
BAE,858969
EDE,31506
BDC,916565
BDB,581764
ABC,639800
ABE,238068
BCD,808716
BEA,542603
BCD,609997
CDD,757242
CBB,99793
ABD,547367
DCD,269146
CCE,286306
CAD,395108
EBE,283623
EBB,883832
BEE,111159
DCD,262089
EBE,981643
BCC,273120
BBC,22766
CED,277308
ECB,786977
AEB,107700
ECA,705413
BAE,386792
DBE,260504
EAE,756520
AAE,832169
ECB,390041
CEE,843226
CBC,378570
ECD,777865
AEC,824458
CCE,435390
ADD,286794
EEA,2450
DDC,517781
AED,776213
EDC,255701
EDA,86628
DAC,862355
CEC,118929
BAE,397433
ACA,794345
DBD,131072
AED,225032
CAB,422299
DED,770476
ABB,308545
DEB,640710
EDD,334312
DDA,492804
ADA,996160
CED,98611
DAA,282438
DEC,809062
ECA,962618
DBB,464550
EDD,409670
CBC,160848
CAB,533266
EEA,138703
ECD,730028
BEB,418896
ADC,667893
BBE,984398
ABC,984222
BCA,716005
ACA,422251
AAB,440730
CCE,43621
ADD,151865
EAD,284194
ADA,526137
BDA,621141
DDD,957416
CAD,829520
CBB,499832
DAB,279384
DCB,511220
CAB,162139
ABB,790868
ABE,174291
CDC,450133
EAA,324119
CCC,66608
CBD,9747
DDD,570810
ECE,761236
DEE,771105
BCB,235275
EBD,803102
ACB,759505
DBA,741832
EEB,608791
CAD,31622
BCE,89368
EBE,663725
EBE,170234
EDA,995968
AEB,962815
BAD,395092
ECD,151284
ACD,535371
BEC,219887
CCC,476310
DEB,655462
CAE,414929
CEC,19310
ADE,540786
EED,97375
BED,868203
ADE,124134
ADA,684629
BEA,751202
BDD,213443
CCB,785614
EAA,380125
AEE,740939
DBC,972092
BCE,202979
CBD,365630
CCA,851598
BCE,156886
CAE,33118
BBA,908236
EDC,143249
BEA,481131
CEC,78402
EDC,353013
EDE,919610
BAB,907689
BCD,167240
CDA,608905
ABD,631800
BEB,155980
AAE,870312
ECD,119384
EAB,418392
DBB,583845
DDD,494573
BBB,98403
ABB,200137
ADE,964555
DAE,405443
DEC,539603
BBB,487301
DDC,168703
AED,389104
BEB,115507
BBB,167962
ADB,503222
DEE,428271
EAD,667642
CED,971915
CEC,492956
EDD,763007
ADB,403345
ABB,296622
DAA,366832
DED,358839
BBD,827045
BCE,194000
ABC,522327
BEC,570295
CDB,184336
BCE,932587
DAA,159114
DEE,219011
ECA,16243
ABD,757781
AAE,734547
AAA,269113
DDA,966227
BDE,278155
BCA,22579
DCB,634588
BEA,844011
DDC,201569
EEC,470471
EDC,86965
EED,673211
CAA,860709
CAB,107362
DAB,619522
EBB,344461
BCA,699134
BAE,801814
DEC,175223
ECB,834299
EDB,24762
BAB,547628
DEE,234100
AAC,831063
DDC,257540
BDD,313972
EAE,127284
CBB,825396
DAC,289567
CDD,64661
DBA,629664
CEC,174251
ABA,121811
DCA,191859
CCD,827833
BEA,578656
ECE,32996
AEE,319055
ECE,686344
DEA,875039
DBC,958533
ADB,145648
AEB,969510
BED,306637
EBD,686126
EEE,986351
DAC,743515
EEC,510650
BBA,398081
ACB,499185
AAE,805301
CAB,224433
EAC,833186
DBE,343488
CBE,31214
EDC,124749
CCE,380667
ACA,904670
BDA,11962
CEB,944354
DEC,358722
CDD,864949
AAD,836290
BBE,411560
CED,687373
BEB,80555
BEC,788529
EEC,372206
CAB,752401
BED,478608
EBC,724074
CAE,360213
CCD,450082
DEA,42950
DCB,68482
AED,395827
DDC,763347
DEE,43404
ECC,121268
EDB,478641
EBC,301492
CDA,49089
ABA,758186
EEE,682783
ADD,502472
DAB,103963
BCE,189437
EDC,494186
ACA,442805
EDB,291445
DBD,242011
CED,914790
DBD,742641
AAE,943407
BCA,384945
CAA,207514
BED,420825
BDC,354454
ABC,830334
ECB,30279
BCB,437871
ECB,921431
BEB,66407
BCB,775515
EAD,328218
CCB,666533
ECB,131653
CBA,620960
DAA,993061
ECE,780504
EDB,761017
ACE,374631
DAA,824346
DED,874617
DEC,864252
BEC,570347
BDB,543083
DEC,638903
BBA,981208
EAB,553325
CAE,97657
CDE,760849
DEA,699167
ACC,44782
BCA,527560
DAE,927758
CBD,919888
CCD,481923
DDC,415421
AAD,191891
ABB,671570
ECE,195644
EEB,938665
AAD,161436
CDE,384557
DCE,264200
BDE,132729
BBE,48501
BEA,55815
BAC,793284
EDB,245550
AAA,586912
EDB,83767
ACC,541750
EDD,404908
DED,796652
DBA,420224
ECC,553628
ABD,586534
BAE,726072
CAC,287089
BCC,379966
EEB,652531
BEC,689118
DBC,909169
BCA,306772
BBB,474401
EDE,257313
BAC,38988
AAE,717752
AEE,397853
ADC,588210
EDD,72765
ABC,602583
CCA,380357
EBE,816856
EEA,903700
DDC,603611
EDA,730714
ACB,220846
DEE,46977
CED,302387
ACE,168417
DBE,912217
CCA,59812
CDE,767054
BDC,649376
CBD,590510
ADB,480070
AEA,155743
DAB,807229
BDE,342571
ADA,251679
AAC,18363
EEC,211798
DAB,955110
AAE,901087
BBD,517803
EDA,955698
CAD,708236
BDC,372379
ACD,154016
CEA,826610
ECD,548977
EDC,678786
EBE,781620
EED,452645
ADA,471421
BBD,814560
EBB,517021
ECA,812750
AAC,88660
ADD,761291
AEC,807831
CEC,119037
DDA,248310
ABB,353109
BCD,256944
CDC,249589
CCD,281126
CBB,281083
BDE,965616
BDD,924635
ACA,737700
EDE,578883
ABA,324704
BBE,512963
DBA,794459
CEA,294762
ABC,470022
BDE,19042
CAA,380144
BAD,424756
BBD,495383
DCB,739750
DEC,749395
ECD,89585
