airport_code,sequence_number
CCE,719109
EDA,209317
EEE,390345
DBA,288200
CAE,715920
BEA,690691
BEE,279626
BCC,327146
CEA,19087
AEA,828659
AEB,447622
CAD,44273
ACA,154812
CBD,232512
BDB,93423
BEE,100755
CCB,66939
CED,487762
BBD,254374
DAD,557091
DAD,715080
DBA,736456
CCC,627041
BDA,840068
BCD,503907
BEE,720119
CEE,368547
CBD,739205
BBE,267626
EDC,474916
AED,336587
CEE,242321
DDB,51777
ECA,612694
ACB,363842
ADD,816900
BAB,797719
EDC,104506
CAE,583457
ECE,942660
DAC,764079
BDD,461097
EBA,215886
EBD,306156
EAD,854793
AAB,713973
EDA,192394
AEE,469482
CCC,997730
ECC,227114
BCC,417788
AEA,520050
CCA,286334
CBE,630171
CCE,714123
DCC,624153
CAB,261424
ACA,683203
CDA,611008
CDE,771229
CAB,131944
ABB,893217
EAE,786874
BAD,194793
CEB,844665
CEE,106904
CAB,966112
DAC,237274
ABA,995497
CDA,968903
DDD,153483
EBD,64208
DCE,824290
BEB,938719
CDA,787558
EDA,844221
EAC,487696
ECD,879020
ADC,837483
CCE,531024
BAB,743481
AAD,638246
EBA,71867
ADB,632661
EDD,710491
CAA,3115
DBC,555305
DBD,202256
DCC,428667
CEE,420586
DAA,554286
EEA,97807
BDA,988811
ACE,972588
BAC,254982
DDC,745517
CDB,974430
EDD,161891
DAC,297482
EDC,262136
ABD,47954
EDA,442246
CBA,993626
BEA,204741
EAE,873112
AAA,607652
EDB,848643
ADD,588989
BCA,761807
CAA,20153
DBB,223242
CAC,159948
DCB,668904
BAC,686346
ACA,149362
ECC,745508
BDC,974573
EBE,13073
BBC,501842
BEA,737436
DBB,948097
ADA,944024
CED,905320
ACB,210756
BEA,71709
BCC,718399
CBA,333797
CBA,302902
EEB,13215
DED,863283
DBE,749745
CBD,280515
ACE,148200
CED,984243
CED,82017
CDC,621937
EAC,340507
BDA,83580
EED,203103
EDA,640142
BBA,413140
BBB,766373
CEE,605822
DED,601925
CCA,147377
EDA,408773
BCA,771638
BAB,243513
BDD,282870
CBB,714803
CCE,962218
ADA,29582
BAE,885894
DAC,919012
BCC,321087
AAC,361102
EBC,341888
DAA,108633
EEE,256754
ABD,116248
AEA,137531
ACE,161238
DDB,21502
CEC,587118
EBB,596539
EBD,872820
EDD,13418
CAE,129646
EAA,319221
DBA,513027
CEB,842441
CEB,48316
BDA,205275
CBB,104566
BAC,352123
ACC,238001
BEC,403191
ECD,557169
CEC,311921
EAE,380133
BCA,891284
BEC,940496
BDB,148362
AED,39703
EAD,148739
DAD,227769
DCE,241715
BEB,333530
BAA,912981
BCA,808478
ABC,893778
CBA,517913
AAB,315029
AAA,139944
CCA,116834
DCC,833856
ADD,253785
DDC,278245
BEB,866794
EEB,99341
BAC,522091
ACD,672341
DEE,834726
DCE,773653
DCC,56995
EEC,634435
CBB,599040
DBB,386472
EAD,400571
ACE,695372
ACA,909516
CDB,334475
ACE,671175
CAC,996390
BED,816924
CCD,215237
AEC,407096
ADB,302903
DEE,227378
BAC,543558
DDD,663734
CCC,634969
ADA,413224
EEA,206980
AEC,815217
CCC,228625
CAB,586088
EAA,281495
CCA,732682
ECA,374278
BDA,415972
ACC,14968
EDC,890688
ECC,672899
BED,715090
EEC,982393
ADA,901748
EDC,842302
DEA,420928
DCE,64419
DDB,84204
CEA,636357
CCD,739406
CEE,71773
AED,69050
CCA,35643
EAB,902214
DDE,238939
ACD,221355
CEE,359731
EAA,500645
EBD,521815
ADE,690286
CBA,910037
ADA,842463
AAC,12796
ECB,179799
EBE,332706
BDA,849477
ECA,29633
AEC,861054
DCA,752514
AEE,143316
ECA,106489
ACD,866280
DBB,150388
CEE,582902
DCD,776655
CDD,276699
EDA,560692
DEB,798759
BDB,599435
BCD,250815
AAE,861664
CCC,682285
ACE,690637
CCC,277460
EEB,79026
AAA,669713
CCA,931636
EEE,475912
CCA,760798
BAB,332078
CAA,934778
BBD,12571
ADC,823628
DDD,109778
DAD,116813
EDB,982566
BCA,442568
DDA,364636
ADB,805982
AAD,400523
BBE,210613
CCC,938374
DDD,196377
CCA,695752
EBE,748222
ACD,148388
ECB,904436
DDA,720014
DDD,509601
ADC,779121
DAA,880599
CCA,523924
ACC,81653
AAD,593351
EDC,995141
CCE,143273
AED,882829
DDD,619630
EBE,21976
BAE,103738
CBC,706734
DBB,229192
ECE,465175
ECA,157542
EBA,482088
ABB,510069
AAA,771552
CCC,723903
BAE,567907
ADD,932593
BBD,782586
BEC,951362
CEA,949778
CAE,576935
BAE,120569
DDE,590329
ABE,795028
ACC,63601
EBA,421561
CEB,12335
AEC,422138
EDA,583297
DAE,993486
DCC,373977
AAA,628909
EAD,739833
ABA,898992
EBE,902087
CCA,896990
ADE,151487
DBE,611708
DCE,811115
DDC,151235
DAE,639054
EAD,263958
CAC,739538
AAD,876639
ECA,698568
ADB,871887
AEA,807642
DCB,892110
EAB,267631
CCE,170121
CDB,547422
ABE,569009
DDD,694482
CAB,947198
ACE,666958
ECC,927497
EEC,272349
EEE,244490
ECB,186571
BCE,751786
ADB,271288
EDE,85685
BDA,492928
EEC,728875
DDA,341483
ADE,54956
BCD,529896
AAE,167028
DCB,927840
CCB,988940
DAE,691351
ABA,536392
ACE,183656
ABE,703903
ACD,720666
DBA,457758
ADE,978890
AAD,130899
BDA,908537
DBA,932224
BDB,354937
DCE,446910
DAB,670657
BED,706397
EBD,848938
ADA,49981
DEB,424753
EEC,618214
DAA,222887
CCD,447123
CEE,811137
AEC,301879
AED,181918
DBD,465957
DBB,541307
BDC,513756
ADD,144094
BCD,22161
BBC,63182
BDA,513521
BCB,761271
BDB,645593
BAD,422007
CBD,891520
CEC,712298
BCC,871847
BDE,938780
ECE,538336
CBD,806475
AAB,835513
DAA,74269
EBB,551271
AAC,916886
BEA,357578
DCA,848158
DCC,108539
EED,929039
ABC,656449
ECA,827887
DAE,649180
BEC,857238
ACC,536837
CDD,812567
CBE,425761
ABD,807698
EEA,192198
CCD,34858
CDA,314806
AAC,700645
ADB,574585
AAD,586878
DBC,604264
DBE,756333
CEB,72942
BEB,77764
EAB,733852
ECE,563963
ACC,523261
CBB,929992
ACC,124772
ACB,151137
CDB,335045
ECA,681007
DCD,852600
BDC,208048
CEB,461748
EBA,88073
CCD,565686
DCB,135094
EAC,14646
CCA,317152
BCD,514210
AAC,360013
CEA,855377
BAC,262097
BCE,730319
DAC,905310
ADD,207189
DBB,565806
AAE,580506
ACC,148972
EDD,289625
BAE,177748
EEB,710846
DAC,427576
AAD,794522
DED,9960
ADE,285695
ECC,681833
EDA,600774
DDA,643993
EBC,875609
BAE,552901
CCC,89993
CEA,18115
CCC,239391
CAA,96484
DEB,759852
EAC,815055
EBD,440487
EDC,330882
CBE,445406
BCE,365530
ECC,308687
CBD,915797
DEA,73422
EBE,198702
DCD,966492
DCC,139787
ACB,238905
BEB,863995
BCA,487285
DDC,490254
CAA,890398
EBA,303800
BDD,864089
DEC,249574
ECB,729549
BAA,615891
EAE,643917
DBD,866343
ECA,785357
ECC,450383
DCA,510754
DEC,491571
BCC,75408
BCB,436398
ADB,144807
ADA,643418
CBD,224976
BCE,691060
ABC,702688
ADA,56282
ECE,166374
ECE,587561
ECA,956213
BBD,354
ABE,329951
BDB,498696
BCA,248437
BCD,977301
DAC,464408
ADC,211657
ECB,308270
BEC,180608
AEA,890618
EDD,629444
DED,359955
CDC,996723
AAA,456695
EAA,91136
CDB,536131
BDD,744482
DEC,760848
EDE,139033
DBE,324098
AED,521294
BCE,281198
CBC,298581
AEA,555784
DDE,615651
CEB,501297
CCC,866474
CEC,147679
AAA,253675
EEB,170768
DBA,901787
ADD,417799
EAD,931342
AAB,465378
ACC,909646
ADB,776947
CEB,198753
DAD,975871
BCE,980995
ADE,735404
BEE,881108
DDB,589891
BEE,268043
CDC,264630
ACE,682731
CBE,381234
CCD,794911
EBD,287042
ABD,930596
BEC,202499
CED,833106
BBA,255373
BCB,239400
CBB,844490
EDC,709128
DEC,491405
DCD,825528
EBD,185251
EEC,173258
EBB,857325
DAE,197144
ADC,874892
BCC,568701
DCC,206022
DBD,801617
EAD,583589
CBA,533667
DAE,159908
ADC,383445
ABA,725272
EEE,216303
BEC,379768
CAB,490167
ADB,231043
EEC,43388
AEA,301045
DCD,805946
BAE,43456
AAA,136921
BDC,304993
ECC,232946
EDD,600502
DDA,76701
DDA,435621
BAC,970352
CAC,583731
CDD,624802
DAB,457401
CBD,91214
DBA,827244
DAA,418745
DCD,876041
DAA,490969
EEE,14948
CBE,291114
CAC,458566
EDE,325862
CCC,189224
CBA,438423
CBB,424497
CAD,924893
BAE,812326
EDD,383346
EEC,346774
DEA,807264
DED,256664
BEA,961295
DDC,868885
BEA,800563
AEE,29359
DAB,490177
ACE,351498
CEB,578839
BAE,88889
ADE,881316
DBE,749167
DEC,793519
DCA,708434
AEA,628812
DDC,602209
DEB,719388
CCA,366271
AAB,872439
BCB,133255
CBE,496709
DEB,38917
ECD,784326
CDC,128764
BAC,325809
CBD,184793
ACB,640378
BCA,350722
ADE,789325
CEE,556173
AEC,486037
DAC,838086
CEA,79229
AAC,425352
CDB,243983
ECD,456305
ACB,977428
DEB,477321
EBE,60476
CCA,131936
AED,715376
EBC,134326
DED,323775
BDB,82493
CCD,821473
EBE,68422
DEE,336348
EAE,486896
DAC,654722
BCB,102635
AEE,810446
CDA,225713
AAB,225586
DAD,870213
CDD,795108
BCA,362039
CEB,782772
ECB,435267
EAA,533519
ADA,95234
BDE,274228
CCC,188635
DDD,101173
ACE,351025
DBD,373105
CCB,270493
DEA,835123
ABB,985376
DCA,429145
EDA,45532
CEE,908869
EBB,920387
BED,687366
DDD,914169
EED,697898
ECE,287950
BCC,876729
BAB,227903
AAD,343414
CAD,118323
ACA,476226
DEE,783105
CCB,581870
BAB,752429
ACC,84327
DDC,101761
ECA,128929
CDD,734091
EBD,165002
DDC,813845
ECE,616109
AEA,970027
DCC,850295
EAE,451622
AAD,979223
EED,541209
ECC,993683
EAD,726657
BAE,807253
CCA,197656
DED,660304
BEB,309410
BDE,337321
BED,347586
BEE,158677
EED,716551
BEE,316364
DEA,537365
EEA,317158
EDD,65960
DAE,323200
ADA,329036
EAD,526520
EBA,650028
CEA,285104
CAA,382338
DDB,586823
CDE,32923
BAC,183233
CDB,646562
BBC,354114
DED,639722
AEE,923221
CCE,267622
ADD,976281
ACE,149798
BED,658383
BBE,454795
DAA,832740
EBD,268794
DBA,473277
EEE,839094
BBA,432466
EDA,166645
ABE,600273
CAE,12601
AEE,13859
CCB,901566
CEE,672439
DDE,498028
EAB,298111
CED,656255
DAA,424824
CAC,803384
DDD,35832
BAC,298208
DBB,543581
CDC,775642
BEB,419440
DAB,505467
ACD,678897
EAE,204320
DDB,353048
EDC,993691
ECE,236472
DCA,110423
DEE,946700
CBD,369847
AAC,655288
AED,395814
CBE,209579
DBB,839016
EDB,515113
ECC,236549
DDA,17033
BBD,816343
CBC,337308
BCD,327355
EAC,360779
AAE,270516
CEE,5433
BDD,570577
DCD,115965
DCC,166102
EAB,49428
EDB,35346
CCE,472853
AAD,91417
BCB,260263
CBE,390375
EAA,837352
BAB,765158
ADB,208361
AEE,478529
ABE,150011
AEB,855606
ECD,33733
AEA,201089
CEB,782773
CBB,89843
DCB,236686
BDA,712717
AEC,90007
ABC,749492
DDD,789833
BDC,625192
BDB,332868
EBD,218434
DCA,53561
ACB,955363
ADC,438488
AEC,893831
BAC,167376
CCE,564925
BCB,452916
DEC,735613
BDA,166184
ABE,776845
CEE,599464
CAC,352885
ECC,769190
EBA,404163
AAD,313947
ECC,971739
EEC,600120
EED,272272
EBB,642307
BAA,563905
ECC,114662
BAD,774371
CEA,895425
AAA,992892
DCC,844370
DEB,747367
CEC,85283
EDC,286422
EDD,95321
DCE,544747
BED,406760
CEE,41442
ACE,803125
CEA,613648
ABB,54254
CAE,77476
AEC,321525
DCC,562288
ACD,799267
ABA,315089
ADE,882530
CAA,314446
DBB,67497
BAE,888771
EEC,541699
BBD,501229
BBE,410848
CAB,676406
BDA,43929
EDC,242338
ADD,281742
EAB,576988
CEE,633238
BBE,284813
EDC,384760
CCC,283119
EBE,78010
BDC,292853
DDC,869790
DBD,865841
CBD,337921
CBD,803916
ECE,628680
CAE,549444
DDB,530771
DAD,786242
ACA,814688
CED,15170
CAA,698415
AEB,926748
EDB,27848
BEB,459469
CBD,779479
BED,85619
EDA,365583
DCD,570915
CCE,545905
CEA,944090
EDB,302393
DCB,444842
EEA,955437
ACC,687643
DBA,703158
BEE,635189
CBA,939623
BBD,710581
EBC,677961
BCA,210066
DAB,556107
DEE,847359
BAC,492475
CEC,868434
DEA,935551
CAC,55193
AED,589360
AEE,458042
DCD,411154
ECD,691967
DCE,464340
CCD,544835
DEB,424787
ADD,80842
DEB,69280
CCD,848338
DBA,368978
CCD,188782
BBA,118254
DDC,383208
ABE,189193
ACD,651397
BAD,910634
ECC,232364
ABA,699895
DDB,560145
DED,510839
CAC,157128
EEA,279854
CDE,770151
EAD,591239
CDE,421579
AAA,265487
CDC,758487
BBD,708640
CAD,839803
CAA,515846
BCD,656634
AAA,945483
DCC,171717
CAB,907182
BAC,60306
ABB,126853
CAD,65138
EEB,231840
ABD,721080
CDE,603952
EEC,773756
EEC,213430
BEB,28720
EEC,798686
BBC,982822
DEB,78131
EDE,533398
CDA,845050
CBD,198543
ABA,678217
AAE,881790
AAA,456102
CEA,933526
DDD,156509
BCE,656340
ACA,593238
DDE,173863
DEB,96189
DAC,936306
BBB,396416
DDD,919515
DBA,565283
BEE,688874
DBB,104320
DCB,578459
DDC,542401
DBD,467324
ABD,94185
EAD,265837
BBC,903580
BEE,262714
ADE,991251
AAA,997869
BAC,464782
BAE,263514
ACC,83934
CCE,276266
BAC,336740
DAE,167074
CDE,312351
DED,276738
DAB,308354
EAB,416906
BDA,332003
CDB,622918
ECE,251589
EAC,893848
BBA,701989
CBA,760975
EDC,568605
DCD,543115
DAA,772436
BAE,686431
BED,570226
DBC,67213
DBC,632247
CCA,448154
CDD,120149
EEE,231663
ABD,129961
BBD,171089
DCE,206272
DBA,97485
AAD,72934
CCE,891822
BBA,372172
EAB,381798
BAD,865933
DBA,712824
CBE,815546
BDE,725018
BAC,182439
BEC,546609
BAD,737480
ADC,680697
DCB,616239
EEA,66921
AAD,767415
ADA,94587
DDB,937408
CCD,840146
CCC,489107
ACD,41209
BCE,795380
BEC,965559
EAD,338820
CCD,169004
AAD,125893
EEC,674312
DAC,22187
ADC,698913
DBB,114197
DBC,144361
CAE,701139
EAA,980532
AEC,966708
CBC,437292
ADE,995814
EDA,104971
BDB,181840
AEC,468673
CBC,970771
CDE,852699
